ID,Crash ID,crash_fatal_fl,case_id,rpt_block_num,rpt_street_name,rpt_street_sfx,crash_speed_limit,road_constr_zone_fl,latitude,longitude,crash_sev_id,sus_serious_injry_cnt,nonincap_injry_cnt,poss_injry_cnt,non_injry_cnt,unkn_injry_cnt,tot_injry_cnt,death_cnt,units_involved,point,motor_vehicle_death_count,motor_vehicle_serious_injury_count,bicycle_death_count,bicycle_serious_injury_count,pedestrian_death_count,pedestrian_serious_injury_count,motorcycle_death_count,motorcycle_serious_injury_count,other_death_count,other_serious_injury_count,onsys_fl,private_dr_fl,micromobility_serious_injury_count,micromobility_death_count,Crash timestamp (US/Central),Crash timestamp,Is deleted,Is temporary record,Law enforcement fatality count,Reported street prefix,Estimated Maximum Comprehensive Cost,Estimated Total Comprehensive Cost,Location ID,Location group,Address,Collision type,Crash Date,Crash Hour,Crash Day,Crash Month,Is_Weekend,Severity_Label,Is_Severe,Highway_Type,Road_Type_Label,Road_Name,Num_Lanes,Speed_Limit,Road_Risk_Level,Is_Intersection,Intersection_Degree,Road_Curvature,Temperature,Precipitation,Windspeed,Visibility,Weather_Code,Weather_Condition,is_wet
"1,507","13,668,490",False,140180974,400,7TH,ST,35,False,30.26779018,-97.73818107,5,0,0,0,2,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.73818107 30.26779018),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-01-18 14:06:00,2014 Jan 18 08:06:00 PM,False,False,0,,"20,000","40,000",0DE1C96379,1.0,400 E 7TH ST,ONE MOTOR VEHICLE - GOING STRAIGHT,2014-01-18,14,Saturday,1,True,Not Injured,0,secondary,City Connector Road,East 7th Street,4.0,,3,True,6,1.0,17.4,0.0,18.4,,0,Clear,False
688,"13,650,635",False,140040788,8700,RESEARCH BLVD SVRD NB,BLVD,-1,False,30.36550476,-97.71843246,5,0,0,0,2,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.71843246 30.36550476),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-01-04 12:24:00,2014 Jan 04 06:24:00 PM,False,False,0,,"20,000","40,000",354981D86F,1.0,RESEARCH BLVD SVRD NB BLVD & PAYTON GIN RD,ANGLE - BOTH GOING STRAIGHT,2014-01-04,12,Saturday,1,True,Not Injured,0,secondary,City Connector Road,Research Boulevard,3.0,,3,True,3,1.0,14.5,0.0,25.2,,0,Clear,False
"1,666","13,671,389",False,140191106,700,NOT REPORTED,HWY,60,False,30.26683482,-97.7342708,0,0,0,0,1,2,0,0,Large passenger vehicle & Passenger car,POINT (-97.7342708 30.26683482),0,0,0,0,0,0,0,0,0,0,True,False,0,0,2014-01-19 16:15:00,2014 Jan 19 10:15:00 PM,False,False,0,,"20,000","60,000",A1DDF0B8EC3,2.0,700 IH 35,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,2014-01-19,16,Sunday,1,True,Unknown,0,motorway,Interstate / Freeway,Purple Heart Trail,3.0,60 mph,5,True,3,1.0,18.8,0.0,2.4,,0,Clear,False
"1,435","13,668,312",False,140151851,,BRAKER,LN,-1,False,30.39892475,-97.73939246,0,0,0,0,1,1,0,0,Large passenger vehicle & Passenger car,POINT (-97.73939246 30.39892475),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-01-15 22:38:00,2014 Jan 16 04:38:00 AM,False,False,0,,"20,000","40,000",13118AC221,1.0,W BRAKER LN & STONELAKE BLVD,SAME DIRECTION - BOTH LEFT TURN,2014-01-15,22,Wednesday,1,False,Unknown,0,tertiary,Neighborhood Connector,Stonelake Boulevard,,,2,True,4,1.0137,7.8,0.0,11.2,,0,Clear,False
672,"13,650,619",False,140040613,9700,RESEARCH BLVD SVRD SB,BLVD,-1,False,30.3878141,-97.74472461,2,0,1,0,1,0,1,0,Large passenger vehicle,POINT (-97.74472461 30.3878141),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-01-04 10:04:00,2014 Jan 04 04:04:00 PM,False,False,0,,"250,000","270,000",D22DE1F2A4,1.0,9700 RESEARCH BLVD SVRD SB BLVD,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,2014-01-04,10,Saturday,1,True,Non-Incapacitating Injury,0,secondary,City Connector Road,Research Boulevard,2.0,,3,True,4,1.0002,8.7,0.0,18.6,,0,Clear,False
"1,796","13,676,403",False,140250579,7132,SH 71,,50,False,30.23212616,-97.79244457,3,0,0,1,1,0,1,0,Passenger car,POINT (-97.79244457 30.23212616),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-01-25 10:03:00,2014 Jan 25 04:03:00 PM,False,False,0,,"200,000","220,000",07BFFD672C6,2.0,7132 W US 290,ANGLE - ONE STRAIGHT-ONE LEFT TURN,2014-01-25,10,Saturday,1,True,Possible Injury,0,motorway,Interstate / Freeway,,4.0,65 mph,5,True,3,,3.0,0.0,11.4,,3,Partly Cloudy,False
603,"13,647,777",False,140100877,,NOT REPORTED,EXPY,25,False,30.32127966,-97.7559346,5,0,0,0,1,0,0,0,Passenger car,POINT (-97.7559346 30.32127966),0,0,0,0,0,0,0,0,0,0,True,False,0,0,2014-01-10 13:08:00,2014 Jan 10 07:08:00 PM,False,False,0,,"20,000","20,000",2EDD85C6EA1,2.0,LOOP 1 & W 45TH ST,ONE MOTOR VEHICLE - GOING STRAIGHT,2014-01-10,13,Friday,1,False,Not Injured,0,secondary,City Connector Road,West 45th Street,3.0,,3,True,3,1.0033,18.1,0.3,19.5,,51,Rain,True
423,"13,643,587",False,140160143,6200,NOT REPORTED,,50,False,30.19414012,-97.76757231,2,0,1,0,0,0,1,0,Large passenger vehicle,POINT (-97.76757231 30.19414012),0,0,0,0,0,0,0,0,0,0,True,False,0,0,2014-01-16 02:44:00,2014 Jan 16 08:44:00 AM,False,False,0,,"250,000","250,000",,,6200 IH 35 SVRD,ONE MOTOR VEHICLE - GOING STRAIGHT,2014-01-16,2,Thursday,1,False,Non-Incapacitating Injury,0,motorway,Interstate / Freeway,Purple Heart Trail,3.0,65 mph,5,True,4,1.0001,6.0,0.0,11.4,,0,Clear,False
"1,302","13,665,843",False,140120822,3700,AIRPORT,BLVD,45,False,30.28913503,-97.70712845,2,0,1,1,1,0,2,0,Passenger car,POINT (-97.70712845 30.28913503),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-01-12 13:37:00,2014 Jan 12 07:37:00 PM,False,False,0,,"250,000","470,000",E368FFDFB4,1.0,3700 AIRPORT BLVD,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,2014-01-12,13,Sunday,1,True,Non-Incapacitating Injury,0,primary,Major City Road,Airport Boulevard,3.0,,3,True,6,1.0009,18.6,0.0,23.2,,3,Partly Cloudy,False
722,"13,650,727",False,140070348,1617,FERGUSON,,-1,False,30.34576657,-97.67675425,5,0,0,0,3,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.67675425 30.34576657),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-01-07 07:55:00,2014 Jan 07 01:55:00 PM,False,False,0,,"20,000","60,000",6C56222FF4,1.0,1617 FERGUSON,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,2014-01-07,7,Tuesday,1,False,Not Injured,0,tertiary,Neighborhood Connector,Ferguson Lane,,,2,True,6,1.0256,-3.8,0.0,5.3,,3,Partly Cloudy,False
