Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47
ID,Crash ID,crash_fatal_fl,case_id,rpt_block_num,rpt_street_name,rpt_street_sfx,crash_speed_limit,road_constr_zone_fl,latitude,longitude,crash_sev_id,sus_serious_injry_cnt,nonincap_injry_cnt,poss_injry_cnt,non_injry_cnt,unkn_injry_cnt,tot_injry_cnt,death_cnt,units_involved,point,motor_vehicle_death_count,motor_vehicle_serious_injury_count,bicycle_death_count,bicycle_serious_injury_count,pedestrian_death_count,pedestrian_serious_injury_count,motorcycle_death_count,motorcycle_serious_injury_count,other_death_count,other_serious_injury_count,onsys_fl,private_dr_fl,micromobility_serious_injury_count,micromobility_death_count,Crash timestamp (US/Central),Crash timestamp,Is deleted,Is temporary record,Law enforcement fatality count,Reported street prefix,Estimated Maximum Comprehensive Cost,Estimated Total Comprehensive Cost,Location ID,Location group,Address,Collision type
"1,166","13,663,325",FALSE,140111955,12900,NOT REPORTED,HWY,65,FALSE,30.43508598,-97.77132127,5,0,0,0,2,0,0,0,Passenger car,POINT (-97.77132127 30.43508598),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2014 Jan 11 10:46:00 PM,2014 Jan 12 04:46:00 AM,FALSE,FALSE,0,,"20,000","40,000",9999829B897,2,12900 US 183,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END
"2,537","13,694,205",FALSE,140371053,3800,DUVAL RD,RD,35,FALSE,30.41178544,-97.72339815,3,0,0,1,1,0,1,0,Motorcycle & Passenger car,POINT (-97.72339815 30.41178544),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Feb 06 04:30:00 PM,2014 Feb 06 10:30:00 PM,FALSE,FALSE,0,,"200,000","220,000",74333D80E4,1,DUVAL RD & ASPENDALE DR,ANGLE - ONE STRAIGHT-ONE LEFT TURN
"1,559","13,668,576",FALSE,140301763,5500,NOT REPORTED,HWY,45,FALSE,30.23660535,-97.83985156,5,0,0,0,2,0,0,0,Motor vehicle – other & Passenger car,POINT (-97.83985156 30.23660535),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2014 Jan 30 10:12:00 PM,2014 Jan 31 04:12:00 AM,FALSE,FALSE,0,,"20,000","40,000",B5EF3E2E00,1,US 290 SVRD & MONTEREY OAKS BLVD,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE
"2,134","13,684,749",FALSE,140281825,7600,NOT REPORTED,HWY,65,FALSE,30.33796451,-97.70088649,5,0,0,0,3,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.70088649 30.33796451),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2014 Jan 28 10:18:00 PM,2014 Jan 29 04:18:00 AM,FALSE,FALSE,0,,"20,000","60,000",061348B2BCF,2,7600 IH 35,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END
"2,630","13,698,166",FALSE,140481216,6000,NOT REPORTED,HWY,70,FALSE,30.1963494,-97.76579181,5,0,0,0,1,0,0,0,Passenger car,POINT (-97.76579181 30.1963494),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2014 Feb 17 05:35:00 PM,2014 Feb 17 11:35:00 PM,FALSE,FALSE,0,,"20,000","20,000",399ACAE7E4B,2,6000 IH 35,ONE MOTOR VEHICLE - GOING STRAIGHT
46,"13,626,780",FALSE,140031330,4700,CONGRESS,AVE,40,FALSE,30.21523029,-97.76878252,0,0,0,0,2,1,0,0,Large passenger vehicle & Passenger car,POINT (-97.76878252 30.21523029),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Jan 03 05:13:00 PM,2014 Jan 03 11:13:00 PM,FALSE,FALSE,0,,"20,000","60,000",E640F44546,1,4700 S CONGRESS AVE,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE
"3,032","13,707,774",FALSE,140130950,8200,N CAPITAL OF TEXAS HWY,HWY,60,FALSE,30.3818723,-97.77301918,5,0,0,0,2,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.77301918 30.3818723),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2014 Jan 13 01:22:00 PM,2014 Jan 13 07:22:00 PM,FALSE,FALSE,0,,"20,000","40,000",A9795D02AD2,1,8200 N CAPITAL OF TEXAS HWY,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED
"1,982","13,680,087",FALSE,140270772,6800,LAMAR,BLVD,40,FALSE,30.33596704,-97.72001383,5,0,0,0,2,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.72001383 30.33596704),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Jan 27 11:47:00 AM,2014 Jan 27 05:47:00 PM,FALSE,FALSE,0,,"20,000","40,000",2A8B2FBFB4,1,6800 N LAMAR BLVD,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END
"3,210","13,711,304",FALSE,140451024,700,CONGRESS,AVE,30,FALSE,30.26925448,-97.74236084,3,0,0,1,3,0,1,0,Bicycle & Passenger car,POINT (-97.74236084 30.26925448),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Feb 14 01:46:00 PM,2014 Feb 14 07:46:00 PM,FALSE,FALSE,0,,"200,000","260,000",06299E2C99,1,700 CONGRESS AVE,ONE MOTOR VEHICLE - TURNING RIGHT
782,"13,652,787",FALSE,140070707,7500,NOT REPORTED,HWY,55,FALSE,30.36969741,-97.78802217,2,0,1,0,1,0,1,0,Bicycle & Passenger car,POINT (-97.78802217 30.36969741),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2014 Jan 07 12:24:00 PM,2014 Jan 07 06:24:00 PM,FALSE,FALSE,0,,"250,000","270,000",962AF8E62248,1,7500 LOOP 360,ONE MOTOR VEHICLE - TURNING RIGHT
781,"13,652,786",FALSE,140161091,13600,NOT REPORTED,HWY,70,FALSE,30.42353109,-97.67170766,3,0,0,1,0,0,1,0,Passenger car,POINT (-97.67170766 30.42353109),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2014 Jan 16 03:33:00 PM,2014 Jan 16 09:33:00 PM,FALSE,FALSE,0,,"200,000","200,000",90E6322AA0D,2,13600 IH 35,ONE MOTOR VEHICLE - GOING STRAIGHT
130,"13,632,371",FALSE,140080343,7600,NOT REPORTED,HWY,70,FALSE,30.33586927,-97.70220894,5,0,0,0,5,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.70220894 30.33586927),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2014 Jan 08 08:06:00 AM,2014 Jan 08 02:06:00 PM,FALSE,FALSE,0,,"20,000","100,000",061348B2BCF,2,7600 IH 35,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END
